"1d7e4c9","Benjamin Lister","Fri, 17 May 2024 12:52:39 +0100","IWP-48 | Fixed feed caching recall",	 1 file changed, 15 insertions(+), 6 deletions(-)	
"aa5c6b1","Benjamin Lister","Fri, 17 May 2024 12:45:16 +0100","IWP-48 | Fixed feed caching recall",	 2 files changed, 40 insertions(+), 1 deletion(-)	
"c2f71d0","Benjamin Lister","Fri, 17 May 2024 12:20:43 +0100","IWP-48 | Reordered user posts on profile pages to be most recent first",	 2 files changed, 11 insertions(+)	
"dec592b","Benjamin Lister","Fri, 17 May 2024 12:16:35 +0100","IWP-48 | Fixed bug with creating posts not passing identification",	 5 files changed, 13 insertions(+), 7 deletions(-)	
"c6ae772","Benjamin Lister","Fri, 17 May 2024 11:59:41 +0100","IWP-48 | Updated pages to work with new coords structure. Fixed bug in feed caching with new coords structure",	 6 files changed, 59 insertions(+), 47 deletions(-)	
"4d8642b","xenono","Fri, 17 May 2024 05:47:16 +0100","Setup admin access and middlewares, add post management table, add admin plant details, with delete and edit actions.",	 17 files changed, 660 insertions(+), 58 deletions(-)	
"4af72b0","Benjamin Lister","Fri, 17 May 2024 01:55:28 +0100","IWP-68 | Made notification sorting and filtering work",	 4 files changed, 75 insertions(+), 28 deletions(-)	
"5004e92","Benjamin Lister","Fri, 17 May 2024 01:31:06 +0100","IWP-48 | Added user marker to plant_details page to show distance between",	 1 file changed, 42 insertions(+)	
"13a1cf5","Benjamin Lister","Fri, 17 May 2024 01:18:33 +0100","IWP-48 | Ensured posts can now be streamed and paginated correctly based on sort and filter order. Fixed issue with syncing missing posts",	 4 files changed, 186 insertions(+), 24 deletions(-)	
"2a76516","Benjamin Lister","Fri, 17 May 2024 00:11:17 +0100","IWP-48 | Added Geolocation sorting. ***BREAKING*** as requires conversion of Post data (npm run convert_locations)",	 11 files changed, 476 insertions(+), 95 deletions(-)	
"d107e5c","acp23yl","Thu, 16 May 2024 23:40:52 +0100","update notification.js",	 1 file changed, 5 insertions(+), 2 deletions(-)	
"8444ffc","xenono","Thu, 16 May 2024 22:59:29 +0100","Remove online and offine notificaiton, remove await inside sw",	 2 files changed, 3 insertions(+), 5 deletions(-)	
"c944a80","Benjamin Lister","Thu, 16 May 2024 19:37:49 +0100","IWP-66 | Fixed problematic sorting for recent and oldest",	 8 files changed, 416 insertions(+), 145 deletions(-)	
"1f69c77","xenono","Thu, 16 May 2024 19:24:01 +0100","Remove console log",	 1 file changed, 1 deletion(-)	
"901f02d","xenono","Thu, 16 May 2024 19:22:06 +0100","Add submittedAt to post,comment and reply object on form submission, add threshold to determine if form was submitted online or offline.",	 6 files changed, 33 insertions(+), 11 deletions(-)	
"f957b57","acp23yl","Thu, 16 May 2024 18:09:45 +0100","update notification.js",	 1 file changed, 28 insertions(+), 14 deletions(-)	
"6a2c16b","xenono","Thu, 16 May 2024 15:32:05 +0100","Add reconnect banner with message to the user to reconnect ot fetch more posts.",	 2 files changed, 13 insertions(+)	
"d309275","xenono","Thu, 16 May 2024 15:10:51 +0100","Fetch feed pages based on _id rather than date",	 3 files changed, 7 insertions(+), 7 deletions(-)	
"7729b86","xenono","Thu, 16 May 2024 14:21:22 +0100","Add auto fetching of recent post to the feed, change logic of pagination from pages to rendering based on last post on the page.",	 8 files changed, 54 insertions(+), 40 deletions(-)	
"e0499ed","acp23yl","Thu, 16 May 2024 13:16:36 +0100","Pass finally blocks to ensure they are hidden after the asynchronous operation completes",	 1 file changed, 15 insertions(+), 16 deletions(-)	
"18a3cec","acp23yl","Thu, 16 May 2024 12:55:59 +0100","Program to modify notifications, updating status each time a filter is applied",	 1 file changed, 23 insertions(+), 10 deletions(-)	
"2b8c6de","xenono","Thu, 16 May 2024 12:14:13 +0100","Add notifciation when user reconnects and goes offline",	 3 files changed, 16 insertions(+), 7 deletions(-)	
"b443e8f","acp23yl","Thu, 16 May 2024 11:48:54 +0100","Added fetchNotifications() to ensure notifications are fetched and displayed immediately when the page loads, and modified the form in the EJS file to submit selected filters to the server",	 2 files changed, 27 insertions(+), 2 deletions(-)	
"fd47038","koustav25","Thu, 16 May 2024 03:18:43 +0100","Fiter and Sorting",	 3 files changed, 12 insertions(+), 15 deletions(-)	
"3ce493a","xenono","Thu, 16 May 2024 01:03:59 +0100","Add back online notfiication",	 6 files changed, 36 insertions(+), 8 deletions(-)	
"042823b","Benjamin Lister","Thu, 16 May 2024 00:49:56 +0100","IWP-87 | Fixed issues with post uploading and syncing not working",	 2 files changed, 3 insertions(+), 6 deletions(-)	
"fe8c682","acp23yl","Wed, 15 May 2024 23:39:13 +0100","The notification function is modified, and the default sorting is performed according to the notification time.",	 2 files changed, 52 insertions(+), 29 deletions(-)	
"7c56187","xenono","Wed, 15 May 2024 19:46:28 +0100","Add socket function to broadcast new post",	 6 files changed, 46 insertions(+), 3 deletions(-)	
"ed60fc8","Koustav Muhuri","Wed, 15 May 2024 14:34:03 +0100","filter and sorting with offline",	 3 files changed, 69 insertions(+), 14 deletions(-)	
"22bfbae","Benjamin Lister","Wed, 15 May 2024 10:07:45 +0100","IWP-70 | Removed dangling exports from postController.js causing crash",	 1 file changed, 2 insertions(+), 4 deletions(-)	
"6010835","xenono","Wed, 15 May 2024 03:54:20 +0100","Add div for new posts.",	 2 files changed, 15 insertions(+)	
"43d6745","acp23yl","Wed, 15 May 2024 02:18:57 +0100","Get the notification method and add markAllNotificationsAsRead method, modify the path and usercontrol class",	 2 files changed, 38 insertions(+), 5 deletions(-)	
"68141b2","Benjamin Lister","Tue, 14 May 2024 17:57:13 +0100","IWP-66 | Reverted package.json to the correct versions of EJS and Express",	 2 files changed, 95 insertions(+), 672 deletions(-)	
"3cd9075","koustav25","Tue, 14 May 2024 16:59:49 +0100","IWP-66_All_Inprogress_Completed",	 6 files changed, 693 insertions(+), 100 deletions(-)	
"a5694d9","Benjamin Lister","Tue, 14 May 2024 16:19:48 +0100","IWP-70 | Added comments",	 4 files changed, 141 insertions(+), 6 deletions(-)	
"2d5ae7b","Benjamin Lister","Tue, 14 May 2024 16:04:00 +0100","IWP-70 | Added reference to Levenshtein distance for DBPedia function",	 1 file changed, 1 insertion(+)	
"8325165","Benjamin Lister","Tue, 14 May 2024 16:02:47 +0100","IWP-70 | Refactored routes to be in API endpoint",	 5 files changed, 66 insertions(+), 69 deletions(-)	
"ebd815f","Benjamin Lister","Tue, 14 May 2024 15:59:55 +0100","IWP-70 | Removed old commented out code",	 2 files changed, 33 deletions(-)	
"432fc0e","xenono","Tue, 14 May 2024 14:56:10 +0100","Fix posts divs added to the feed wrapper backwards, add caching newly fetched posts",	 1 file changed, 12 insertions(+), 2 deletions(-)	
"cfd21b2","Benjamin Lister","Tue, 14 May 2024 02:36:33 +0100","IWP-70 | Disabled suggestions when offline",	 2 files changed, 39 insertions(+), 3 deletions(-)	
"bd647e0","Benjamin Lister","Tue, 14 May 2024 02:28:09 +0100","IWP-70 | Added offline reply functionality. Changed mongodb.js to use atomic operations for updating comments and replies to prevent race conditions and version errors",	 7 files changed, 201 insertions(+), 47 deletions(-)	
"9becdfc","Benjamin Lister","Tue, 14 May 2024 00:47:07 +0100","IWP-70 | Added offline commenting functionality",	 9 files changed, 474 insertions(+), 16 deletions(-)	
"e9b4fc1","koustav25","Mon, 13 May 2024 18:13:36 +0100","deleting commented code",	 2 files changed, 14 deletions(-)	
"3dd9ed4","koustav25","Mon, 13 May 2024 18:08:45 +0100","IWP-66_All_Inprogress_Completed",	 4 files changed, 75 insertions(+), 11 deletions(-)	
"489f0b6","xenono","Mon, 13 May 2024 16:59:46 +0100","Add d-none class to the notification counter if the count is less or equals 0",	 1 file changed, 2 insertions(+)	
"278bed3","xenono","Mon, 13 May 2024 16:57:52 +0100","Add updating missing posts to the feed page after user reconnects",	 4 files changed, 49 insertions(+), 16 deletions(-)	
"a3a8f2b","xenono","Mon, 13 May 2024 15:18:00 +0100","Move notification update counter login into a function.",	 1 file changed, 14 insertions(+), 14 deletions(-)	
"5e1d771","xenono","Mon, 13 May 2024 15:14:58 +0100","Update notificaiton counter on reconnect.",	 1 file changed, 10 insertions(+), 2 deletions(-)	
"ce23bb7","xenono","Mon, 13 May 2024 14:49:11 +0100","Remove redundant imports",	 4 files changed, 5 deletions(-)	
"d31a8e5","xenono","Mon, 13 May 2024 14:46:55 +0100","Address pr comments",	 6 files changed, 26 insertions(+), 5 deletions(-)	
"7835818","Benjamin Lister","Sun, 12 May 2024 22:37:44 +0100","IWP-69 | Added popup indicating pending post count",	 2 files changed, 39 insertions(+)	
"cd3c3ce","Benjamin Lister","Sun, 12 May 2024 22:28:23 +0100","IWP-69 | Added Version of offline posting, along with resync once offline",	 5 files changed, 214 insertions(+), 33 deletions(-)	
"28a93af","Benjamin Lister","Sun, 12 May 2024 21:23:21 +0100","IWP-50 | Removed legacy code as requested in PR",	 1 file changed, 38 deletions(-)	
"8e7f502","xenono","Sat, 11 May 2024 21:22:31 +0100","Fix post statuses on feed page",	 7 files changed, 54 insertions(+), 14 deletions(-)	
"b441a2f","xenono","Sat, 11 May 2024 18:54:44 +0100","Add socket event read notification on which the notification counter is decreased.",	 6 files changed, 16 insertions(+), 13 deletions(-)	
"e1f295f","Benjamin Lister","Sat, 11 May 2024 15:38:40 +0100","IWP-50 | Added DBPedia Integration",	 6 files changed, 286 insertions(+), 46 deletions(-)	
"d2a520e","xenono","Sat, 11 May 2024 05:34:39 +0100","Fix notifiation counter not decreasing after marking the notification",	 2 files changed, 29 insertions(+), 11 deletions(-)	
"12b4444","xenono","Sat, 11 May 2024 00:52:38 +0100","Fix feed page fetching duplicates",	 1 file changed, 8 insertions(+), 3 deletions(-)	
"44ca078","Benjamin Lister","Fri, 10 May 2024 23:31:49 +0100","IWP-55 | Disabled search gracefully in offline mode",	 6 files changed, 122 insertions(+), 41 deletions(-)	
"cb28ec7","Benjamin Lister","Fri, 10 May 2024 16:46:07 +0100","IWP-55 | Hidden notification count if count is zero. Tweaked navbar",	 4 files changed, 59 insertions(+), 16 deletions(-)	
"809053e","Benjamin Lister","Fri, 10 May 2024 16:28:56 +0100","IWP-55 | Added socket.io to search page. Also adjusted service worker to cache pages correctly",	 7 files changed, 65 insertions(+), 25 deletions(-)	
"1ae7e7b","Benjamin Lister","Fri, 10 May 2024 15:53:51 +0100","IWP-55 | Fixed issue with service workers and redirects from login",	 2 files changed, 29 insertions(+), 2 deletions(-)	
"5ad0302","Benjamin Lister","Fri, 10 May 2024 15:38:02 +0100","IWP-55 | Added Offline Development options for MongoDB",	 2 files changed, 22 insertions(+), 7 deletions(-)	
"d4c0b3c","xenono","Thu, 9 May 2024 00:44:57 +0100","Address pr comments and add removing the notificaiton on unlike action.",	 11 files changed, 70 insertions(+), 46 deletions(-)	
"e01b827","xenono","Sun, 5 May 2024 02:00:28 +0100","Remove redundant code, add link to the post in the notification",	 5 files changed, 23 insertions(+), 19 deletions(-)	
"ff21580","xenono","Sun, 5 May 2024 01:46:39 +0100","Add api endpoint for mark all notification as read.",	 7 files changed, 41 insertions(+), 25 deletions(-)	
"e9c7959","xenono","Sat, 4 May 2024 23:59:25 +0100","Add dynamic pagnation to the notifications page.",	 7 files changed, 149 insertions(+), 65 deletions(-)	
"732412e","xenono","Sat, 4 May 2024 19:25:42 +0100","Add dynamically loading new notification on the notification page",	 16 files changed, 280 insertions(+), 43 deletions(-)	
"4610d57","xenono","Tue, 30 Apr 2024 22:44:28 +0100","Remove todos, and statically setting isLoggedIn",	 1 file changed, 1 deletion(-)	
"7554b42","xenono","Tue, 30 Apr 2024 22:43:00 +0100","Remove todos, and statically setting isLoggedIn",	 7 files changed, 11 insertions(+), 16 deletions(-)	
"1a03204","xenono","Tue, 30 Apr 2024 00:56:01 +0100","Remove todo",	 1 file changed, 1 deletion(-)	
"7c8b167","xenono","Mon, 29 Apr 2024 15:40:26 +0100","Change router order",	 4 files changed, 2 insertions(+), 6 deletions(-)	
"8226c14","xenono","Mon, 29 Apr 2024 15:28:25 +0100","Enable auth",	 15 files changed, 75 insertions(+), 51 deletions(-)	
"aae6b3f","Benjamin Lister","Sun, 28 Apr 2024 22:19:23 +0100","IWP-62 | Fixed issues with user ID mappings causing functions to fail",	 4 files changed, 246 insertions(+), 174 deletions(-)	
"789e5f1","xenono","Sun, 28 Apr 2024 22:14:52 +0100","Add function for saving notifcation to the db, add notification content for new comment, new like and new reply events.",	 8 files changed, 82 insertions(+), 25 deletions(-)	
"ce0d92d","xenono","Sat, 27 Apr 2024 00:28:26 +0100","Fix multiple joining the rooms, add leaving rooms when page is reloaded or feed updated, move sw code to footer, add online checking in the navbar with info to the user in what mode he is currently in.",	 12 files changed, 84 insertions(+), 56 deletions(-)	
"14f3c4c","koustav25","Fri, 26 Apr 2024 14:09:45 +0100","IWP-57 | Inserting post details in user table in mongo",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"cbe4c6e","koustav25","Fri, 26 Apr 2024 13:53:42 +0100","IWP-57 | Inserting post details in user table in mongo",	 1 file changed, 10 insertions(+), 1 deletion(-)	
"6dc1853","xenono","Thu, 25 Apr 2024 22:34:14 +0100","Add notificaiton type to content.",	 3 files changed, 28 insertions(+), 4 deletions(-)	
"b8cf0b7","xenono","Thu, 25 Apr 2024 15:44:56 +0100","Add updating comment count via sockets.",	 8 files changed, 33 insertions(+), 11 deletions(-)	
"7556531","xenono","Thu, 25 Apr 2024 14:27:05 +0100","Move activating sw to a seperate file, add filling the feed page with the cached data.",	 12 files changed, 278 insertions(+), 103 deletions(-)	
"3d8fb65","xenono","Tue, 23 Apr 2024 13:35:19 +0100","Add fetching feed page from the database.",	 8 files changed, 135 insertions(+), 60 deletions(-)	
"3b4d1a1","xenono","Tue, 23 Apr 2024 10:45:53 +0100","Add service worker and notfication permission, add dynamic feed page loading.",	 5 files changed, 78 insertions(+), 10 deletions(-)	
"27fab42","koustav25","Fri, 19 Apr 2024 15:55:17 +0100","Addressing Review comments",	 3 files changed, 36 insertions(+), 6 deletions(-)	
